domain,source_url,competitors_present,num_competitors,submission_mechanism,submission_url,follow_status,astrotarot_present,priority,notes
techtudo.com.br,"https://www.techtudo.com.br/listas/2022/08/tarot-online-gratis-conheca-cinco-sites-para-jogar-e-ver-previsoes.ghtml | /listas/2023/09/oraculo-sim-ou-nao-online-conheca-6-sites-de-taro-para-tirar-duvidas-edsoftwares.ghtml | /listas/2024/05/mapa-astral-gratuito","personare; obaralho; otarot.net; tarolia; somostodosum; horoscopovirtual; adorei.net; astrolink",9,EDITORIAL,pauta via imprensa/assessoria,unknown,false,1,"Maior gap do nicho (Globo). Listas recorrentes e atualizaveis. Pitch: 'site de tarot com IA gratis'."
guiademidia.com.br,https://www.guiademidia.com.br/sites/esotericos.htm,"joaobidu; personare; astrocentro; horoscopovirtual; obaralho; tarotdemarselha; tarotgratis",7,CLOSED,https://www.guiademidia.com.br/cadastro/sites.htm (encerrado),unknown,false,4,"Cadastro oficialmente encerrado; tentar email citando categoria esotericos existente."
pinkfireblog.com.br,https://pinkfireblog.com.br/tarot-online/,"personare; obaralho; otarot.net; tarolia; somostodosum",5,PAID/EDITORIAL,https://pinkfireblog.com.br/contato/,unknown,false,2,"Blog aberto a midia paga; negociar inclusao na lista de tarot online."
listography.com,https://listography.com/8619681151/esoterico/mais_usados_,"astrolink; iquilibrio; wemystic; somostodosum; tarolia",5,UGC/AUTO,https://listography.com/ (criar conta e lista),nofollow provavel,false,3,"Facil e gratis; valor de link baixo mas mencao publica imediata."
reclameaqui.com.br,"https://www.reclameaqui.com.br/empresa/wemystic/ | /detector-site-confiavel/otarot.net | /detector-site-confiavel/vidatarot.com.br","wemystic; otarot.net; vidatarot",3,SEMI_AUTO,cadastro gratuito de empresa no Reclame Aqui,nofollow provavel,false,2,"Perfil oficial = trust em SERP BR para a marca."
inspirare.org.br,https://inspirare.org.br/quais-os-melhores-sites-de-astrologia-do-brasil/,"personare; astrolink; horoscopovirtual",3,EDITORIAL/SEMI_AUTO,contato no site / email,unknown,false,2,"Blog pequeno e receptivo; sugerir inclusao na lista."
siteconfiavel.com.br,"https://www.siteconfiavel.com.br/site/wemystic-com-br | /site/astrocentro-com-br | /site/otarot-net","wemystic; astrocentro; otarot.net",3,AUTO,https://www.siteconfiavel.com.br/ (Verificar novo site),sem link (mencao),false,3,"Consultar astrotarot.shop na ferramenta gera a pagina automaticamente."
webwiki.pt,"https://www.webwiki.pt/otarot.net | https://www.webwiki.pt/joaobidu.com.br","otarot.net; joaobidu",2,SEMI_AUTO,https://www.webwiki.pt/ (adicionar site),nofollow ate reivindicar,false,3,"Adicionar astrotarot.shop + reivindicar; verificar no navegador (bloqueia bots)."
similarweb.com,"https://www.similarweb.com/pt/website/otarot.net/ | /website/astrocentro.com.br/competitors/","todos os principais",9,AUTO (programatico),n/a,nofollow,parcial (gerado por trafego),5,"Sem valor de link building; util apenas como fonte de dados competitivos."
terra.com.br,https://www.terra.com.br/vida-e-estilo/horoscopo/jogotaro/,"joaobidu (syndication)",1,EDITORIAL/PAID,parceria comercial de conteudo,unknown,false,4,"Modelo replicavel via parceria de syndication de conteudo."
evatarot.net + altarocchi.it + gotarot.de + esotarot.es,rodapes sitewide,"otarot.net (rede propria)",1,CLOSED,n/a,dofollow,false,5,"PBN linguistico do proprio dono do otarot.net (SAS FLEXWEB). Nao replicavel — e o principal 'segredo' do perfil de links dele."
