rank,domain,submission_url,categoria,tipo,custo,registro,aprovacao,dofollow,score,notes
1,twelve.tools,https://twelve.tools,AI/startup,SEMI_AUTO,gratis,nao explicito,leve,SIM anunciado (DR81),88,"Maior DR anunciado do lote com dofollow explicito"
2,turbo0.com,https://turbo0.com/submit,AI/startup,SEMI_AUTO,gratis (ver pricing),nao explicito,leve,SIM anunciado (DR80 permanente),86,"~35k pageviews/mes"
3,trustpilot.com,https://signup.business.trustpilot.com/create-account,review/perfil,AUTO,gratis,sim,nao,nofollow (perfil indexavel forte),85,"Concorrentes ja la (tarot.com; tarotoo.com; free-tarot-reading.net). Pagina /review/astrotarot.shop rankeia para busca de marca"
4,startupbase.io,https://startupbase.io/launch,AI/startup,SEMI_AUTO,gratis,sim (Google/LinkedIn/email),sim,SIM anunciado (DR70+),84,"Launch diario 00:00 PDT"
5,thenextai.com,https://thenextai.com/submit-ai-tool/,AI tools,SEMI_AUTO,gratis (featured $199 opc),NAO precisa conta,24-48h,SIM anunciado,84,"3200+ tools; 120k visitas/mes alegadas; form sem conta"
6,rankmyai.com,https://www.rankmyai.com/tool-addition,AI tarot (nicho exato),AUTO,gratis,form,mensal,unknown,82,"Ja existe ranking 'Top AI Tarot Reading Tools' com Tarotoo/Tarotap — entrar nele e prioridade tematica maxima"
7,bing.com/forbusiness,https://www.bing.com/forbusiness/,citacao/maps,SEMI_AUTO,gratis,sim (conta Microsoft),verificacao tel/email,n/a citacao,80,"Relancado out/2025; aceita negocio online (ocultar endereco). Fazer junto: Bing Webmaster Tools"
8,nicklaunches.com,https://nicklaunches.com,AI/startup,SEMI_AUTO,gratis,sim,curadoria,SIM anunciado (DR68 permanente),80,"Launch semanal"
9,findyourfate.com,https://www.findyourfate.com/astro-directory/directorysummary.php,astrologia (nicho),SEMI_AUTO,gratis,nao (nome+email),leve,unknown,78,"Diretorio de astrologia antigo com autoridade; aceita SITES explicitamente ('direct link to your web site')"
10,huzzler.so,https://huzzler.so,AI/startup,SEMI_AUTO,gratis,sim,revisao manual,SIM anunciado (DR60+),76,"Comunidade de builders; anti-spam"
11,openaitoolshub.org,https://openaitoolshub.org/submit,AI tools,SEMI_AUTO,gratis,NAO precisa conta,~48h,SIM anunciado (DR30),75,"Form de 2 min sem conta"
12,astrodune.com,https://astrodune.com/add-astrologer/,astrologia (nicho),SEMI_AUTO,gratis,sim,mesmo dia,unknown,72,"Cadastrar o fundador como astrologo digital; perfil linka website"
